Feature,Importance
SessionsPerWeek,0.42138213188089524
AvgSessionDurationMinutes,0.3735151698422558
PlayerLevel,0.05670846921438365
AchievementsUnlocked,0.05157479115731214
PlayTimeHours,0.03793400590783826
Age,0.02174228514936332
Location_USA,0.0029611183904298868
GameDifficulty_Easy,0.002896289940470305
GameGenre_Action,0.002892063443659555
Location_Europe,0.0028719384614022173
GameDifficulty_Medium,0.0028326865536607102
InGamePurchases,0.0027513090921836114
GameGenre_Strategy,0.002609661757427463
GameGenre_Sports,0.002537937650151193
GameGenre_Simulation,0.002487246480843318
Location_Asia,0.002420571384662379
GameGenre_RPG,0.002169906282608972
Gender_Female,0.002019379615191975
GameDifficulty_Hard,0.0019597276917773876
Gender_Male,0.0019412965729545336
Location_Other,0.0017920135305280727
